Season,Team,LG,Level,Org,W,L,ERA,G,GS,CG,SHO,HLD,SV,SVO,IP,H,R,ER,HR,NP,HB,BB,IBB,SO,AVG,WHIP,GO/AO
2016,1 team,-,College,Johns Hopkins,0,0,4.09,21,0,0,0,-,-,-,22.0,25,13,10,0,-,8,6,0,22,.284,1.41,-
2016,Johns Hopkins,CENT,NCAA,Johns Hopkins,0,0,4.09,21,0,0,0,-,-,-,22.0,25,13,10,0,-,8,6,0,22,.284,1.41,-
2017,1 team,-,College,Johns Hopkins,4,1,2.04,17,0,0,0,-,6,-,35.1,30,11,8,0,-,4,8,2,29,.223,1.08,-
2017,Johns Hopkins,CENT,NCAA,Johns Hopkins,4,1,2.04,17,0,0,0,-,6,-,35.1,30,11,8,0,-,4,8,2,29,.223,1.07,-
2017,1 team,-,Summer,Baltimore,3,2,0.95,8,4,0,0,-,1,-,38.0,25,6,4,0,-,5,9,0,29,.195,0.89,-
2017,Baltimore Dodgers,CRCL,Summer,Baltimore,3,2,0.95,8,4,0,0,-,1,-,38.0,25,6,4,0,-,5,9,0,29,.195,0.90,-
2018,1 team,-,College,Johns Hopkins,2,2,2.53,11,1,0,0,-,2,-,32.0,32,18,9,2,-,5,9,2,27,.260,1.28,-
2018,Johns Hopkins,CENT,NCAA,Johns Hopkins,2,2,2.53,11,1,0,0,-,2,-,32.0,32,18,9,2,-,5,9,2,27,.260,1.28,-
2019,1 team,-,College,Johns Hopkins,6,2,2.91,25,3,2,0,-,7,-,77.1,76,35,25,5,-,11,8,0,60,.254,1.09,-
2019,Johns Hopkins,CENT,NCAA,Johns Hopkins,6,2,2.91,25,3,2,0,-,7,-,77.1,76,35,25,5,-,11,8,0,60,.254,1.09,-
2019,1 team,-,Independent,Westside,1,0,0.00,6,0,0,0,-,-,-,6.2,4,1,0,0,-,0,1,0,6,-,0.75,-
2019,WST,USBL,Independent,Westside,1,0,0.00,6,0,0,0,-,-,-,6.2,4,1,0,0,-,0,1,0,6,-,0.75,-
2019,2 teams,-,Minors,Mets,2,0,1.33,22,0,0,0,-,4,-,20.1,17,5,3,0,-,2,5,1,24,.209,1.08,-
2019,BRK,NYPL,A-,Mets,2,0,2.25,11,0,0,0,-,1,-,12.0,13,5,3,0,-,2,3,1,14,.260,1.33,-
2019,KNG,APPY,Rk+,Mets,0,0,0.00,11,0,0,0,-,3,-,8.1,4,0,0,0,-,0,2,0,10,.129,0.72,-
2021,3 teams,-,Minors,Mets,2,1,3.65,33,0,0,0,-,1,-,61.2,70,37,25,2,-,9,13,1,47,.282,1.35,-
2021,SYR,AAAE,AAA,Mets,0,0,10.13,3,0,0,0,-,-,-,2.2,7,3,3,1,-,0,1,0,1,.466,3.00,-
2021,BNG,AANE,AA,Mets,0,0,3.72,6,0,0,0,-,-,-,9.2,5,4,4,0,-,4,1,0,6,.147,0.62,-
2021,BRK,HAE,A+,Mets,2,1,3.28,24,0,0,0,-,1,-,49.1,58,30,18,1,-,5,11,1,40,.291,1.40,-
2022,3 teams,-,Minors,Mets,5,3,4.70,33,2,0,0,-,2,-,53.2,61,34,28,6,-,5,22,1,55,.282,1.55,-
2022,SYR,IL,AAA,Mets,0,1,8.53,2,2,0,0,-,-,-,6.1,7,6,6,2,-,2,2,0,7,.280,1.42,-
2022,BNG,EL,AA,Mets,4,2,4.99,25,0,0,0,-,1,-,39.2,49,28,22,4,-,3,18,0,38,.300,1.69,-
2022,BRK,SALL,A+,Mets,1,0,0.00,6,0,0,0,-,1,-,7.2,5,0,0,0,-,0,2,1,10,.178,0.91,-
2024,3 teams,-,Minors,Mets,1,3,3.77,38,0,0,0,-,5,-,57.1,57,31,24,3,-,10,14,2,48,.248,1.24,-
