PitchNo,Date,Time,Pitcher,PitcherThrows,TaggedPitchType,PitchSession,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime
1,2026-01-09,13:37:26.73,"Hejka, Josh",Right,Sinker,Warmup,84.37504,3.170082931,-6.255799609,2573.550161,281.7525338,3:30,2.36868,4.08294,5.69956,-45.22625,-4.62667,21.54633,1.57412,0.02666,75.37191,-5.35071069,-2.200364878,0.4585980452
2,2026-01-09,13:38:02.06,"Hejka, Josh",Right,Cutter,Warmup,80.2613,2.446336238,-6.221079315,2744.085433,208.6970926,1:00,2.13712,3.94653,5.5889,-36.18495,7.95682,4.409,1.42061,-1.51718,73.35955,-4.275487249,-5.405272083,0.4781853591
3,2026-01-09,13:38:15.92,"Hejka, Josh",Right,Cutter,Warmup,80.29728,1.982871176,-2.521606161,2744.128899,183.9044006,12:15,2.00408,3.78945,5.5367,-37.42573,6.47628,0.44472,0.74088,1.46844,73.28505,-5.002512357,-2.43851917,0.4768849346
4,2026-01-09,13:38:31.54,"Hejka, Josh",Right,Four-Seam,Warmup,84.32924,2.268567482,-3.350059696,2641.308878,259.8058674,2:45,2.41873,3.81948,5.49995,-37.37846,2.888,16.47438,1.43013,2.05585,76.12557,-4.739401191,-0.2581184186,0.4567127539
5,2026-01-09,13:38:47.23,"Hejka, Josh",Right,Sinker,Warmup,84.8013,2.62004302,-6.785725799,2535.765383,306.1494228,4:15,2.34201,3.88794,5.6624,-51.35773,-11.14453,15.18759,0.52395,-1.20283,76.23433,-7.013455289,-3.941196644,0.456410617
6,2026-01-09,13:39:42.96,"Hejka, Josh",Right,Slider,Live,74.87955,3.233243201,-2.622722577,2767.144915,155.59867,11:15,2.09142,3.92751,5.20334,-32.8466,19.3027,-8.76131,2.40104,0.72937,66.94792,-2.920428432,-4.26272862,0.5197513466
7,2026-01-09,13:40:04.16,"Hejka, Josh",Right,Sinker,Live,84.25128,2.663760727,-4.447983207,2529.799261,289.0100184,3:45,2.22383,4.08872,5.6745,-47.2482,-6.7599,19.35771,0.77877,1.54738,75.57368,-6.243027841,-0.7932513284,0.4579690868
8,2026-01-09,13:40:16.56,"Hejka, Josh",Right,Slider,Live,74.53645,3.764486333,-3.048554379,2742.329564,161.6818151,11:30,1.96531,3.79499,5.22554,-39.22395,13.11327,-4.34759,2.24529,0.56442,67.05656,-3.557166049,-3.859718136,0.5206869429
9,2026-01-09,13:40:30.45,"Hejka, Josh",Right,Cutter,Live,79.03439,3.232207898,-4.370847539,2795.343263,179.5068513,12:00,2.20801,4.012,5.72336,-37.14515,8.0248,-0.06949,2.13467,-0.0722,72.10311,-3.707911867,-4.383808194,0.4837224187
10,2026-01-09,13:40:44.11,"Hejka, Josh",Right,Slider,Live,74.69657,3.925987365,-1.878663441,2798.660752,148.3859428,11:00,2.13343,3.87031,5.46912,-33.73637,18.04505,-11.09858,3.00344,1.18689,66.89796,-2.4190605,-3.965489466,0.51791484
11,2026-01-09,13:41:02.23,"Hejka, Josh",Right,Slider,Live,73.41945,4.074633324,-4.071995857,2773.691361,147.7125757,11:00,2.1291,3.5951,5.33197,-33.55534,20.53301,-12.96115,3.17144,-1.31145,65.89108,-2.20191087,-6.487934995,0.529326049
12,2026-01-09,13:41:22.63,"Hejka, Josh",Right,Four-Seam,Live,83.76038,3.112838467,-5.335285533,2557.186588,257.5664145,2:30,2.48241,3.68894,6.12976,-36.76959,3.52236,16.55543,2.3105,0.12343,75.00459,-3.869421259,-2.194519505,0.456857285
13,2026-01-09,13:41:36.71,"Hejka, Josh",Right,Cutter,Live,80.18049,2.301714757,-5.3168653,2769.881604,195.4917346,12:30,2.2566,3.73194,5.69783,-37.30811,7.02906,1.9674,1.30259,-1.07226,72.64125,-4.686227344,-4.949262191,0.4792425317
14,2026-01-09,13:41:50.94,"Hejka, Josh",Right,Sinker,Live,83.03887,3.468375047,-4.031398113,2581.79138,288.6094683,3:30,2.03808,3.8228,5.77722,-46.64624,-5.43902,15.86033,1.38964,1.3877,74.98087,-5.308819205,-1.043733508,0.4620171472
15,2026-01-09,13:42:15.91,"Hejka, Josh",Right,Slider,Live,74.65861,3.924113482,-2.81443593,2716.173613,162.351024,11:30,2.07821,3.62141,5.55882,-33.54122,18.00745,-5.73025,2.95902,0.51265,67.05968,-2.380123383,-3.890773025,0.5167495795
16,2026-01-09,13:42:45.50,"Hejka, Josh",Right,Slider,Live,74.17523,3.664819079,-4.867803857,2679.678127,155.4772524,11:15,2.07382,3.78263,5.57856,-35.38183,17.17922,-7.85008,2.56467,-1.42813,66.56212,-2.978372413,-6.336220579,0.5217992448
17,2026-01-09,13:43:11.90,"Hejka, Josh",Right,Cutter,Live,80.50454,3.215330712,-4.128933839,2828.45493,191.6560983,12:30,2.30315,3.90092,5.54311,-37.22896,6.73436,1.3994,2.21623,0.15264,73.13852,-3.734526807,-3.868008702,0.4772178265
18,2026-01-09,13:44:27.21,"Hejka, Josh",Right,Cutter,Live,80.52489,3.227145291,-4.383821241,2752.47776,209.0052027,1:00,2.1947,3.78118,5.54286,-39.53833,4.67249,2.62078,1.92745,-0.10483,72.75648,-4.17322077,-3.893873315,0.4785592578
19,2026-01-09,13:44:49.81,"Hejka, Josh",Right,Four-Seam,Live,83.65483,4.181891578,-5.707798428,2678.961802,264.1260763,2:45,2.40127,4.03638,5.61844,-39.58921,1.42782,15.32986,3.03078,-0.02986,75.35603,-3.2240455,-2.842846716,0.4609496706
20,2026-01-09,13:45:00.76,"Hejka, Josh",Right,Slider,Live,76.27737,3.755152296,-2.370755907,2826.021981,160.3167735,11:15,2.12266,3.79062,5.26867,-33.3501,16.69755,-5.97447,2.87849,1.06481,68.26334,-2.494789288,-3.490082403,0.5091705062
